token_id,rank,score
0,4554,95.67
1,3008,104.81
2,3245,103.20
3,5787,89.80
4,2303,110.37
5,8356,77.88
6,8131,78.99
7,9738,67.47
8,3907,99.22
9,9567,69.41
10,1753,115.98
11,1344,121.88
12,6495,86.61
13,662,138.98
14,6547,86.33
15,8152,78.85
16,896,131.99
17,8950,74.16
18,2790,106.42
19,5653,90.43
20,3643,100.75
21,4830,94.36
22,7890,80.14
23,3482,101.62
24,8262,78.32
25,9165,72.69
26,2090,112.27
27,7720,80.97
28,336,157.14
29,5785,89.80
30,5587,90.71
31,4974,93.71
32,8832,74.96
33,5900,89.25
34,9969,62.14
35,6404,87.03
36,2657,107.42
37,45,333.72
38,5741,89.99
39,3418,102.00
40,7433,82.30
41,2222,111.09
42,2572,108.06
43,2685,107.21
44,8672,75.95
45,3048,104.54
46,4901,94.01
47,3698,100.44
48,9431,70.56
49,8735,75.54
50,6703,85.47
51,3359,102.39
52,6406,87.02
53,2738,106.77
54,6682,85.56
55,4317,96.85
56,5088,93.05
57,4684,95.08
58,4565,95.63
59,4647,95.23
60,8429,77.45
61,2928,105.49
62,2540,108.34
63,9928,63.54
64,1418,120.79
65,2369,109.77
66,9448,70.40
67,2065,112.58
68,95,268.58
69,8197,78.61
70,6114,88.31
71,2358,109.91
72,9780,66.87
73,1020,128.81
74,4570,95.61
75,2871,105.90
76,3265,103.08
77,2708,107.09
78,1200,124.78
79,9705,67.86
80,7371,82.59
81,779,135.19
82,8057,79.31
83,1453,120.25
84,1910,114.17
85,4915,93.97
86,7096,83.70
87,1371,121.37
88,6671,85.65
89,8849,74.82
90,5350,91.81
91,2212,111.18
92,2276,110.60
93,9970,62.13
94,2558,108.20
95,7450,82.20
96,6104,88.36
97,2393,109.53
98,1478,119.83
99,1543,118.83
100,9438,70.51
101,8979,74.00
102,659,139.11
103,5760,89.92
104,7403,82.44
105,9400,70.79
106,1129,126.21
107,3558,101.18
108,175,178.94
109,5290,92.14
110,586,142.44
111,5740,90.00
112,7632,81.39
113,4021,98.56
114,5987,88.91
115,3087,104.24
116,7508,81.98
117,6876,84.67
118,1568,118.43
119,7084,83.79
120,7561,81.75
121,2922,105.56
122,5372,91.70
123,2360,109.88
124,9095,73.16
125,6619,85.95
126,9051,73.49
127,970,130.05
128,7519,81.90
129,6497,86.59
130,800,134.54
131,9530,69.83
132,7850,80.34
133,9995,60.17
134,3037,104.59
135,2144,111.74
136,7255,83.08
137,9510,69.95
138,650,139.57
139,748,136.52
140,5656,90.42
141,6435,86.89
142,2923,105.55
143,2010,113.21
144,5827,89.64
145,4218,97.43
146,2831,106.15
147,9139,72.86
148,9980,61.38
149,1559,118.50
150,5136,92.83
151,5971,88.95
152,8689,75.83
153,3447,101.79
154,8025,79.44
155,6394,87.07
156,7786,80.59
157,3685,100.54
158,8166,78.78
159,1747,116.05
160,8092,79.14
161,371,154.22
162,7358,82.64
163,2913,105.63
164,851,133.12
165,3022,104.71
166,3202,103.55
167,7587,81.60
168,3173,103.75
169,3406,102.06
170,2974,105.08
171,9555,69.62
172,1618,117.56
173,2040,112.83
174,9259,71.98
175,5126,92.88
176,8369,77.84
177,3794,99.91
178,5133,92.84
179,2752,106.66
180,3092,104.19
181,8873,74.69
182,7992,79.62
183,4778,94.57
184,6550,86.32
185,8663,76.03
186,1726,116.25
187,5924,89.15
188,1465,120.14
189,4465,96.20
190,1501,119.48
191,3172,103.76
192,5541,90.91
193,223,170.84
194,5427,91.41
195,3892,99.29
196,334,157.21
197,5866,89.46
198,2893,105.77
199,654,139.42
200,6821,84.89
201,6585,86.12
202,941,130.68
203,3278,102.98
204,2958,105.27
205,4720,94.85
206,9248,72.06
207,3231,103.33
208,1401,121.00
209,6003,88.85
210,7355,82.65
211,4106,98.08
212,2612,107.77
213,9125,72.96
214,8321,78.03
215,9627,68.83
216,5641,90.49
217,859,132.96
218,7149,83.48
219,5936,89.09
220,5668,90.34
221,6526,86.43
222,8644,76.12
223,4426,96.37
224,2435,109.19
225,768,135.65
226,9368,71.08
227,5361,91.74
228,4296,96.98
229,1210,124.62
230,1034,128.36
231,4208,97.45
232,9907,64.14
233,3506,101.46
234,6747,85.20
235,238,168.93
236,3085,104.26
237,4962,93.76
238,8488,77.11
239,9097,73.13
240,7867,80.26
241,4159,97.77
242,5816,89.67
243,8449,77.33
244,3156,103.85
245,9409,70.75
246,8401,77.64
247,5315,92.01
248,1328,122.12
249,3199,103.58
250,3016,104.77
251,6220,87.88
252,9782,66.84
253,2088,112.30
254,3270,103.05
255,3573,101.12
256,6498,86.58
257,2473,108.90
258,9011,73.79
259,6039,88.66
260,6761,85.14
261,6409,87.01
262,3465,101.73
263,1383,121.20
264,6572,86.18
265,3194,103.60
266,9057,73.45
267,7365,82.61
268,397,152.07
269,9833,66.04
270,6160,88.14
271,8765,75.36
272,2103,112.16
273,6557,86.27
274,342,156.64
275,8528,76.87
276,1588,118.10
277,5772,89.86
278,9457,70.33
279,1608,117.92
280,3219,103.41
281,763,135.77
282,2492,108.74
283,1855,114.81
284,4366,96.65
285,8067,79.27
286,5052,93.22
287,4630,95.31
288,5319,91.98
289,3273,103.01
290,1035,128.31
291,7552,81.79
292,4312,96.90
293,1198,124.79
294,4382,96.60
295,9076,73.27
296,1473,119.89
297,7434,82.29
298,8573,76.57
299,8747,75.48
300,3319,102.71
301,7213,83.22
302,19,349.37
303,9339,71.36
304,9891,64.66
305,7711,81.02
306,5479,91.17
307,5095,93.00
308,9361,71.16
309,6320,87.40
310,4248,97.25
311,738,136.69
312,1904,114.21
313,9325,71.46
314,921,131.27
315,6462,86.75
316,9499,70.08
317,1238,124.08
318,3249,103.17
319,2682,107.23
320,3171,103.76
321,5379,91.67
322,8409,77.59
323,3915,99.16
324,9141,72.85
325,6164,88.13
326,1565,118.47
327,9345,71.24
328,9270,71.94
329,9740,67.42
330,2332,110.14
331,1032,128.46
332,7634,81.38
333,2204,111.23
334,3909,99.19
335,6095,88.41
336,7409,82.41
337,4646,95.23
338,7387,82.53
339,7184,83.35
340,8816,75.07
341,7822,80.47
342,1970,113.65
343,8574,76.57
344,6931,84.42
345,2209,111.18
346,4155,97.82
347,60,324.48
348,5140,92.83
349,5585,90.72
350,1606,117.97
351,9363,71.13
352,913,131.42
353,6183,88.06
354,9985,61.08
355,3778,100.05
356,4746,94.73
357,806,134.25
358,3251,103.17
359,6383,87.14
360,6946,84.38
361,7860,80.30
362,583,142.69
363,8805,75.14
364,4967,93.74
365,7143,83.50
366,9124,72.97
367,444,149.22
368,8591,76.44
369,4802,94.47
370,2666,107.33
371,3032,104.67
372,7400,82.45
373,7347,82.69
374,871,132.51
